Engineering strain,Tensile stress (GPa)
0.0727499999999999,10.15506379709754
0.0735000000000001,10.24217274168996
0.07425,10.337743603778382
0.075,10.425919579912899
0.0757500000000001,10.49986890023642
0.0764999999999999,10.575978797418099
0.0772500000000001,10.64217295490072
0.078,10.71758891238422
0.0787499999999999,10.78914497890142
0.0795000000000001,10.870354808714321
0.08025,10.945537911918521
0.0809999999999999,11.023617616140019
0.0817500000000001,11.10221634584256
0.0824999999999999,11.163228222377741
0.08325,11.21848465222476
0.084,11.294184384261701
0.0847499999999999,11.36316830933562
0.0855000000000001,11.40829811955754
0.08625,11.48626354242442
0.0869999999999999,11.53898604351442
0.0877500000000001,11.593552474077422
0.0885,11.63701953191004
0.0892499999999999,11.70610816802238
0.0900000000000001,11.745874605782841
0.09075,11.833734674192721
0.0915,11.8917791497761
0.09225,11.9605233868959
0.0929999999999999,12.0165437871549
0.0937500000000001,12.09038556116742
0.0945,12.13051418323282
0.0952499999999999,12.194878246589159
0.0960000000000001,12.252766890782421
0.09675,12.29080302521244
0.0974999999999999,12.334527623807
0.0982500000000001,12.40394096687954
0.0989999999999999,12.43790772189022
0.09975,12.48133986158058
0.1005,12.536280543693719
0.10125,12.57802934959234
0.102,12.60695862486514
0.10275,12.6521604321895
0.1035,12.68249067516852
0.10425,12.70657397723564
0.105,12.74543719220822
0.10575,12.7697763616442
0.1065,12.808244080212438
0.10725,12.85500737171434
0.108,12.8990317138698
0.10875,12.92591728644338
0.1095,12.95085097357482
0.11025,12.963193776007838
0.111,12.9793054835791
0.11175,13.0147161520683
0.1125,13.04530939382058
0.11325,13.071211807873519
0.114,13.105470093879319
0.11475,13.12040895541394
0.1155,13.133139473575701
0.11625,13.1505051342024
0.117,13.157894992106739
0.11775,13.167706510028442
0.1185,13.18560103973996
0.11925,13.200769504619961
0.12,13.202649607696799
0.12075,13.238206048914261
0.1215,13.243271961350581
0.12225,13.25110114487288
0.123,13.245427347485
0.12375,13.24159082681552
0.1245,13.23203838606448
0.12525,13.249361906903761
0.126,13.26524123052368
0.12675,13.281091784481982
0.1275,13.30109101281268
0.12825,13.312031791922001
0.129,13.297932535130979
0.12975,13.29828595336852
0.1305,13.305628371468282
0.13125,13.315799344615021
0.132,13.31821466519778
0.13275,13.34752954944014
0.1335,13.35705965976172
0.13425,13.351683546125802
0.135,13.356184570748459
0.13575,13.367714948089702
0.1365,13.370868898531878
0.13725,13.378276717883441
0.138,13.38911126773856
0.13875,13.551622107504603
0.1395,13.74004752034428
0.14025,13.88467037230474
0.141,14.0444680280302
0.14175,14.1995023612052
0.1425,14.19103690301468
0.14325,14.15422270622084
0.144,14.142278324785021
0.14475,14.133071880019838
0.1455,14.121415085984001
0.14625,14.11879236358142
0.147,14.106661329442579
0.14775,14.0952151736853
0.1485,14.07676514717102
0.14925,14.036182779266241
0.15,13.99152228090586
0.15075,13.95672940475174
0.1515,13.947126989484579
0.15225,13.91913380370408
0.153,13.93687102504244
0.15375,13.93092288346424
0.1545,13.912748934442499
0.15525,13.878892186078218
0.156,13.806003101699739
0.15675,13.735760275311199
0.1575,13.646151223827559
0.15825,13.55721082004234
0.159,13.43782509643346
0.15975,13.327741906326342
0.1605,13.11083527491374
0.16125,12.72656158120682
0.162,12.035535264006388
0.16275,11.029231067136898
0.1635,9.697836785453067
0.16425,8.017711502966971
0.165,6.119483227772998
0.16575,4.0160527559420425
0.1665,1.674407037231336
0.16725,-0.88263549669319
0.168,-3.198630571713164
0.16875,-4.891238824202469
0.1695,-5.59455253048898
0.17025,-5.176678766134654
0.171,-3.6930739614838934
0.17175,-1.6146265665588941
0.1725,0.586344054654238
0.17325,2.443401056627118
0.174,3.733356454408626
0.17475,4.401359689721575
0.1755,4.423149367708836
0.17625,3.75549119912709
0.177,2.496142311938334
0.17775,0.8201921363942521
0.1785,-1.0288083172251261
0.17925,-2.709267968450124
0.18,-3.844372471222262
0.18075,-4.174366593725212
0.1815,-3.6093933510969856
0.18225,-2.337889971654234
0.183,-0.6789071561733878
0.18375,-5.092039817958776
0.1845,-3.5583079718737975
0.18525,-4.30753437773655
0.186,-6.23165478900501
