Engineering strain,Tensile stress (GPa),sample
0.078,10.6583116411477,W1_joint_300K
0.0787499999999999,10.71375120395108,W1_joint_300K
0.0795000000000001,10.80311269162882,W1_joint_300K
0.08025,10.8792767769351,W1_joint_300K
0.0809999999999999,10.94582066727404,W1_joint_300K
0.0817500000000001,11.0046792526,W1_joint_300K
0.0824999999999999,11.0825925446239,W1_joint_300K
0.08325,11.13706841036054,W1_joint_300K
0.084,11.2042532155367,W1_joint_300K
0.0847499999999999,11.27617056674276,W1_joint_300K
0.0855000000000001,11.34515480608298,W1_joint_300K
0.08625,11.40838641954968,W1_joint_300K
0.0869999999999999,11.48431264762598,W1_joint_300K
0.0877500000000001,11.560815224949419,W1_joint_300K
0.0885,11.6174271128206,W1_joint_300K
0.0892499999999999,11.697966687604481,W1_joint_300K
0.0900000000000001,11.77166818147148,W1_joint_300K
0.09075,11.83999167689082,W1_joint_300K
0.0915,11.91222726318764,W1_joint_300K
0.09225,11.97994890827202,W1_joint_300K
0.0929999999999999,12.03245390183572,W1_joint_300K
0.0937500000000001,12.100559082099618,W1_joint_300K
0.0945,12.15809266222802,W1_joint_300K
0.0952499999999999,12.203952352618739,W1_joint_300K
0.0960000000000001,12.26719967655616,W1_joint_300K
0.09675,12.316347963123778,W1_joint_300K
0.0974999999999999,12.34992692128708,W1_joint_300K
0.0982500000000001,12.38059021691358,W1_joint_300K
0.0989999999999999,12.43471483524626,W1_joint_300K
0.09975,12.464752729207081,W1_joint_300K
0.1005,12.51151393920278,W1_joint_300K
0.10125,12.57881482933178,W1_joint_300K
0.102,12.64055587898436,W1_joint_300K
0.10275,12.66695196896324,W1_joint_300K
0.1035,12.72838786695476,W1_joint_300K
0.10425,12.758438412663159,W1_joint_300K
0.105,12.78141094365084,W1_joint_300K
0.10575,12.800992254235279,W1_joint_300K
0.1065,12.8335886138196,W1_joint_300K
0.10725,12.836808012261361,W1_joint_300K
0.108,12.866678027017098,W1_joint_300K
0.10875,12.880727006405019,W1_joint_300K
0.1095,12.91324544547292,W1_joint_300K
0.11025,12.94791974262606,W1_joint_300K
0.111,12.994470805469982,W1_joint_300K
0.11175,13.009445962287021,W1_joint_300K
0.1125,13.02016221036852,W1_joint_300K
0.11325,13.026829074103262,W1_joint_300K
0.114,13.01332417346336,W1_joint_300K
0.11475,13.00588802536538,W1_joint_300K
0.1155,12.994368621931198,W1_joint_300K
0.11625,12.987271620048801,W1_joint_300K
0.117,12.983525082467699,W1_joint_300K
0.11775,12.98877428999696,W1_joint_300K
0.1185,12.98792506740956,W1_joint_300K
0.11925,13.019883725507942,W1_joint_300K
0.12,13.04510883403692,W1_joint_300K
0.12075,13.06530643550538,W1_joint_300K
0.1215,13.084511412426139,W1_joint_300K
0.12225,13.09579498633686,W1_joint_300K
0.123,13.105350572324301,W1_joint_300K
0.12375,13.129945740445919,W1_joint_300K
0.1245,13.137255779093142,W1_joint_300K
0.12525,13.15213318121098,W1_joint_300K
0.126,13.167272676169821,W1_joint_300K
0.12675,13.1791955364242,W1_joint_300K
0.1275,13.17214056143968,W1_joint_300K
0.12825,13.18881891295888,W1_joint_300K
0.129,13.20138758690282,W1_joint_300K
0.12975,13.22004375653484,W1_joint_300K
0.1305,13.230982984742099,W1_joint_300K
0.13125,13.2592453981141,W1_joint_300K
0.132,13.25184723534122,W1_joint_300K
0.13275,13.27690794629394,W1_joint_300K
0.1335,13.27899099528268,W1_joint_300K
0.13425,13.2807977536295,W1_joint_300K
0.135,13.290380283919902,W1_joint_300K
0.13575,13.321989774389682,W1_joint_300K
0.1365,13.32510850390386,W1_joint_300K
0.13725,13.3462792844464,W1_joint_300K
0.138,13.36596656581256,W1_joint_300K
0.13875,13.37320252480634,W1_joint_300K
0.1395,13.40648956912166,W1_joint_300K
0.14025,13.41251662274802,W1_joint_300K
0.141,13.411721678840522,W1_joint_300K
0.14175,13.420752674878822,W1_joint_300K
0.1425,13.425514042983059,W1_joint_300K
0.14325,13.4343728032617,W1_joint_300K
0.144,13.47110649231052,W1_joint_300K
0.14475,13.48304838991738,W1_joint_300K
0.1455,13.487660824986941,W1_joint_300K
0.14625,13.503726535348239,W1_joint_300K
0.147,13.500956997016658,W1_joint_300K
0.14775,13.48682072779314,W1_joint_300K
0.1485,13.4933176718196,W1_joint_300K
0.14925,13.49770825717284,W1_joint_300K
0.15,13.479095837350638,W1_joint_300K
0.15075,13.45726046472048,W1_joint_300K
0.1515,13.4424210326749,W1_joint_300K
