# Time-averaged data for fix rdf1850out
# TimeStep Number-of-rows
# Row c_rdf1850[1] c_rdf1850[2] c_rdf1850[3] c_rdf1850[4] c_rdf1850[5] c_rdf1850[6] c_rdf1850[7] c_rdf1850[8] c_rdf1850[9] c_rdf1850[10] c_rdf1850[11] c_rdf1850[12] c_rdf1850[13] c_rdf1850[14] c_rdf1850[15] c_rdf1850[16] c_rdf1850[17] c_rdf1850[18] c_rdf1850[19] c_rdf1850[20] c_rdf1850[21]
360000 200
56 1.665 0.000630261 0.000360334 0.0207276 0.000893629 0.26465 0.000872009 0.0895998 0.000864803 0.228857 0.00335111 0.0198256 0.00101614 0.177088 0.000194805 27.3509 0.0469072 3.42509 0.0400631 16.7881 0.323288
57 1.695 0.00161889 0.000475641 0.0181873 0.00103776 0.633754 0.00135486 0.0794238 0.000944076 0.277767 0.00380513 0.0765397 0.00104497 0.170815 0.000324675 31.1161 0.0706186 2.06396 0.0416404 9.00028 0.330137
58 1.725 0.00194657 0.000619775 0.0307055 0.00129 1.05753 0.00219083 0.132507 0.001081 0.208682 0.00415826 0.0925214 0.001081 0.0826685 0.00038961 25.4394 0.0907216 2.39804 0.0435331 17.3452 0.343836
59 1.755 0.00113038 0.000706255 0.0263047 0.0015134 1.4282 0.00335832 0.174962 0.00126838 0.255429 0.00460507 0.053894 0.00110262 0.556666 0.000844156 45.4257 0.127835 1.54392 0.044795 13.3495 0.354795
60 1.785 0.00254764 0.000908043 0.030337 0.00178005 1.78981 0.00487172 0.0911149 0.00136927 0.286681 0.00512396 0.0691061 0.00113145 0.919487 0.00162338 40.2773 0.161856 3.37097 0.0476341 9.72876 0.363014
61 1.815 0.00599697 0.0013981 0.0404036 0.00214759 2.18563 0.00678149 0.17011 0.00156385 0.246363 0.00558518 0.0499915 0.00115307 0.816915 0.00233766 50.0886 0.20567 1.44125 0.0488959 15.7135 0.376712
62 1.845 0.00545215 0.00185933 0.0621582 0.00273133 2.61807 0.00914529 0.158525 0.00175123 0.267725 0.00610406 0.0325302 0.00116748 0.86149 0.00311688 38.2332 0.240206 2.10227 0.0507886 16.7036 0.391781
63 1.875 0.00941157 0.00268089 0.0988131 0.00368982 2.6892 0.0116532 0.300473 0.00211877 0.248811 0.00660133 0.0313002 0.0011819 0.975948 0.00402597 55.3271 0.291753 1.70042 0.0523659 22.0161 0.412329
64 1.905 0.0131093 0.00386278 0.142459 0.00511675 2.39489 0.0139594 0.228402 0.00240703 0.2273 0.00706976 0.0303103 0.00119631 0.470486 0.00448052 41.2241 0.331443 0.654758 0.0529968 11.4012 0.423288
65 1.935 0.0271207 0.00638513 0.216275 0.00735082 2.53936 0.0164817 0.354426 0.00286826 0.298048 0.00770395 0.0879967 0.00123955 0.589856 0.00506494 37.889 0.369072 1.58713 0.0545741 17.9156 0.441096
66 1.965 0.0416038 0.0103776 0.286138 0.0103993 2.62273 0.0191698 0.327377 0.00330787 0.347881 0.00846786 0.0713678 0.00127558 0.571105 0.00564935 32.2326 0.402062 3.38934 0.0580442 5.33785 0.446575
67 1.995 0.0775163 0.0180455 0.386471 0.014644 2.27148 0.0215696 0.427336 0.00389882 0.503313 0.00960651 0.0966376 0.00132603 0.79883 0.00649351 27.3635 0.430928 3.57891 0.0618297 16.8549 0.464384
68 2.025 0.130483 0.0313491 0.468776 0.0199481 2.10652 0.0238613 0.434729 0.00451859 0.618484 0.0110479 0.0536633 0.00135486 1.07332 0.00766234 18.9708 0.451546 1.44868 0.0634069 17.6208 0.483562
69 2.055 0.194143 0.0517296 0.602727 0.0269746 1.87737 0.0259657 0.495357 0.00524647 0.708786 0.0127486 0.0520158 0.00138368 0.985035 0.00876623 18.388 0.472165 3.38591 0.0671924 9.75867 0.494521
70 2.085 0.314954 0.085774 0.738954 0.0358389 1.47464 0.0276665 0.709646 0.00632027 0.93937 0.0150692 0.139588 0.00146296 0.395117 0.00922078 12.97 0.487113 3.00629 0.0706625 11.8858 0.508219
71 2.115 0.451562 0.136005 0.911652 0.0470957 1.76724 0.0297636 0.768741 0.00751658 1.21349 0.0181536 0.184566 0.00157106 0.765792 0.0101299 11.7316 0.501031 2.12253 0.0731861 9.24646 0.519178
72 2.145 0.631417 0.208244 1.08315 0.0608533 1.41147 0.031486 0.805915 0.00880657 1.39799 0.0218074 0.119786 0.00164312 0.638915 0.0109091 6.7496 0.509278 3.62985 0.0776025 5.63046 0.526027
73 2.175 0.836007 0.306601 1.25219 0.0772052 1.01602 0.0327616 1.03779 0.0105146 1.53652 0.0259369 0.163179 0.00174402 0.672273 0.0117532 7.38683 0.518557 1.51006 0.0794953 14.1842 0.543836
74 2.205 1.05556 0.434246 1.36141 0.0954742 1.07818 0.0341525 1.17132 0.0124964 1.70871 0.0306572 0.271591 0.00191698 0.603499 0.0125325 4.78335 0.524742 1.22083 0.0810726 9.57248 0.556164
75 2.235 1.2884 0.594307 1.54675 0.116806 0.892196 0.0353344 1.39031 0.0149106 1.86056 0.0359398 0.264782 0.00208994 0.440477 0.0131169 5.83183 0.532474 2.85618 0.084858 6.20454 0.564384
76 2.265 1.54641 0.791626 1.71272 0.141064 0.968493 0.0366532 1.40091 0.0174114 2.01902 0.0418276 0.290225 0.00228452 0.381142 0.0136364 3.01788 0.536598 2.08975 0.0876972 8.03713 0.575342
77 2.295 1.7761 1.0243 1.80092 0.167253 0.758767 0.0377126 1.49059 0.0201427 2.14301 0.0482416 0.512523 0.00263765 0.279596 0.014026 5.16833 0.543814 2.48471 0.0911672 9.77887 0.589041
78 2.325 1.97462 1.28981 1.91891 0.195892 0.733594 0.0387648 1.69444 0.023328 1.96768 0.054288 0.601183 0.00306284 0.453961 0.0146753 4.3076 0.55 2.19951 0.0943218 8.57171 0.60137
79 2.355 2.17772 1.59026 1.99494 0.226441 0.670666 0.0397521 1.80443 0.0268089 2.08815 0.0608677 0.704985 0.00357452 0.353605 0.0151948 3.4979 0.555155 1.71313 0.0968454 7.46534 0.612329
80 2.385 2.31739 1.91816 2.0477 0.258605 0.816606 0.0409844 1.89412 0.0305564 2.04409 0.0674762 0.84129 0.0042015 0.473655 0.0159091 3.75002 0.560825 2.71462 0.100946 5.46593 0.620548
81 2.415 2.42863 2.27052 2.08163 0.29213 0.517473 0.0417844 1.95827 0.0345272 1.99155 0.0740775 1.17993 0.00510233 0.336443 0.0164286 3.32345 0.565979 2.24276 0.104416 11.5059 0.638356
82 2.445 2.50309 2.64278 2.05091 0.325987 0.572952 0.0426924 1.90289 0.0384837 1.88567 0.0804843 1.12434 0.00598155 0.286956 0.0168831 2.59471 0.570103 3.38489 0.109779 8.6387 0.652055
83 2.475 2.52035 3.02685 2.02692 0.36027 0.487975 0.0434852 1.89318 0.0425195 1.85254 0.0869343 1.24972 0.00698328 0.55935 0.0177922 2.86172 0.574742 2.90672 0.114511 8.42231 0.665753
84 2.505 2.51604 3.4196 2.00813 0.395063 0.502297 0.0443211 1.99468 0.0468723 1.60678 0.0926636 1.21915 0.00798501 0.233683 0.0181818 3.40341 0.580412 3.78188 0.12082 10.7131 0.683562
85 2.535 2.51216 3.8212 1.94166 0.429519 0.523858 0.0452148 1.77256 0.050836 1.69685 0.0988613 1.42252 0.00918132 0.0761842 0.0183117 2.42453 0.584536 2.22216 0.124606 10.4544 0.70137
86 2.565 2.47315 4.22599 1.93965 0.464759 0.420901 0.0459498 1.48361 0.0542303 1.54577 0.104641 1.37269 0.0103632 0.260179 0.0187662 2.94904 0.589691 2.34764 0.128707 6.28283 0.712329
87 2.595 2.38093 4.62485 1.92281 0.500512 0.467863 0.0467858 1.47063 0.0576751 1.44074 0.110154 1.35717 0.0115595 0.181907 0.0190909 4.0501 0.596907 2.11192 0.132492 7.68262 0.726027
88 2.625 2.29674 5.01854 1.81004 0.534952 0.477132 0.0476578 1.47891 0.0612208 1.39452 0.115617 1.26189 0.0126982 0.31995 0.0196753 1.4023 0.599485 4.14181 0.140063 4.50218 0.734247
89 2.655 2.20109 5.4045 1.72552 0.568536 0.431136 0.048465 1.23119 0.0642404 1.37048 0.121108 1.32044 0.0139161 0.208839 0.0200649 2.20512 0.603608 3.7148 0.147003 7.30989 0.747945
90 2.685 2.06276 5.77442 1.65348 0.601449 0.527312 0.0494739 1.18397 0.0672096 1.34505 0.126622 1.35108 0.0151917 0.270787 0.0205844 2.15354 0.607732 2.64459 0.15205 5.73234 0.758904
91 2.715 1.96366 6.13449 1.52177 0.632423 0.479285 0.0504108 1.04015 0.069876 1.24185 0.131825 1.2625 0.0164096 0.266489 0.0211039 2.90313 0.613402 2.73686 0.157413 4.19929 0.767123
92 2.745 1.84075 6.47952 1.46624 0.662929 0.483185 0.0513765 1.07511 0.0726939 1.17777 0.136869 1.16145 0.0175555 0.259809 0.0216234 1.54612 0.616495 3.7845 0.164984 3.42156 0.773973
93 2.775 1.71871 6.80875 1.31068 0.690797 0.490089 0.0523782 0.923167 0.0751658 1.10517 0.141705 1.17212 0.0187374 0.19121 0.022013 2.2699 0.621134 2.62567 0.170347 8.71642 0.791781
94 2.805 1.60044 7.12199 1.24775 0.717901 0.476259 0.0533727 0.972094 0.077825 1.10244 0.146634 1.09828 0.0198688 0.248824 0.0225325 2.71983 0.626804 4.07891 0.178864 3.28913 0.79863
95 2.835 1.48849 7.41959 1.17931 0.744069 0.601488 0.0546555 0.883928 0.0802969 0.934346 0.150901 1.15048 0.0210796 0.212411 0.022987 3.38977 0.634021 2.81122 0.184858 3.21749 0.805479
96 2.865 1.38039 7.70144 1.13185 0.769717 0.602391 0.0559671 0.878479 0.0828048 0.973213 0.155441 1.12049 0.0222831 0.327297 0.0237013 2.83956 0.640206 4.77768 0.195268 1.8836 0.809589
97 2.895 1.27636 7.96751 1.00599 0.792995 0.657988 0.0574301 0.714788 0.0848876 0.883888 0.15965 1.03185 0.0234145 0.292741 0.0243506 3.47711 0.647938 3.41323 0.202839 6.1516 0.823288
98 2.925 1.19579 8.22199 0.958987 0.815646 0.600122 0.0587922 0.765258 0.0871649 0.83295 0.1637 1.04211 0.024582 0.458377 0.0253896 4.31109 0.657732 2.78271 0.209148 1.80609 0.827397
99 2.955 1.1018 8.46129 0.876324 0.836776 0.64701 0.0602912 0.76632 0.0894926 0.849652 0.167916 0.996844 0.0257207 0.253258 0.025974 4.66412 0.668557 2.30695 0.214511 5.91731 0.841096
100 2.985 1.03574 8.69083 0.822999 0.857019 0.655385 0.0618406 0.781381 0.0919141 0.815412 0.172045 0.785171 0.0266359 0.35726 0.0268182 3.92661 0.677835 3.33365 0.222397 3.48873 0.849315
101 3.015 0.9499 8.90561 0.739788 0.875584 0.639479 0.0633828 0.795807 0.0944292 0.708701 0.175706 0.921556 0.0277313 0.242357 0.0274026 2.77924 0.684536 4.05265 0.232177 5.13547 0.861644
102 3.045 0.883906 9.10944 0.700524 0.893514 0.594459 0.0648458 0.683767 0.0966345 0.74669 0.179641 0.861684 0.0287763 0.396728 0.0283766 3.56453 0.693299 3.32901 0.240379 5.00024 0.873973
103 3.075 0.827852 9.30412 0.686252 0.91143 0.738374 0.0666979 0.804493 0.0992793 0.756771 0.183706 0.903415 0.0298933 0.516829 0.0296753 3.90986 0.703093 4.15069 0.250789 6.57 0.890411
104 3.105 0.788551 9.4932 0.641456 0.928502 0.715438 0.0685284 0.645018 0.101441 0.673442 0.187396 0.776677 0.0308735 0.40627 0.0307143 3.0237 0.710825 4.30964 0.26183 4.81225 0.90274
