# Time-averaged data for fix rdf300out
# TimeStep Number-of-rows
# Row c_rdf300[1] c_rdf300[2] c_rdf300[3] c_rdf300[4] c_rdf300[5] c_rdf300[6] c_rdf300[7] c_rdf300[8] c_rdf300[9] c_rdf300[10] c_rdf300[11] c_rdf300[12] c_rdf300[13] c_rdf300[14] c_rdf300[15] c_rdf300[16] c_rdf300[17] c_rdf300[18] c_rdf300[19] c_rdf300[20] c_rdf300[21]
10000 200
70 2.085 0.000812433 0.000259441 0.00993752 0.000360334 2.058 0.0519818 0.0622956 0.000295474 0.0533943 0.000367541 0 0 2.64999 0.0429221 0 0.0654639 0.476276 0.0107256 0 0.0753425
71 2.115 0.00169421 0.000475641 0.0233835 0.000691842 1.10576 0.053488 0.0686204 0.000417988 0.130919 0.000749496 0 0 1.71607 0.0452597 0 0.0654639 0.463955 0.0113565 0 0.0753425
72 2.145 0.00482776 0.00110983 0.0449715 0.00134765 0.853877 0.0546843 0.188389 0.000763909 0.220894 0.00141251 0.0104114 7.20669e-06 1.11164 0.0468182 0 0.0654639 0.225061 0.0116719 0 0.0753425
73 2.175 0.0131273 0.00288268 0.0942446 0.00276016 0.455459 0.0553402 0.255689 0.00124676 0.4134 0.00268809 0.0101806 1.44134e-05 1.03745 0.0483117 0.717338 0.0664948 0.438518 0.0123028 0 0.0753425
74 2.205 0.0412265 0.00860479 0.181945 0.00556356 0.24346 0.0557005 0.34899 0.00192419 0.779362 0.00515999 0.0197436 2.88268e-05 0.526268 0.0490909 0 0.0664948 0.427141 0.0129338 0 0.0753425
75 2.235 0.117435 0.0253531 0.356039 0.0111992 0.217911 0.056032 0.636038 0.00319256 1.10812 0.00877054 0.0480481 6.48602e-05 0.213235 0.0494156 0.339199 0.0670103 0.414626 0.0135647 0.901451 0.0767123
76 2.265 0.292472 0.0681897 0.710212 0.0227443 0.110789 0.056205 0.925524 0.00508792 1.76595 0.01468 0.0748106 0.000122514 0.208028 0.0497403 0 0.0670103 0.404808 0.0141956 0.87715 0.0780822
77 2.295 0.680087 0.170453 1.30752 0.0445662 0.0449429 0.056277 1.42917 0.00809311 2.40613 0.0229461 0.172954 0.000259441 0.161997 0.05 0 0.0670103 0.393238 0.0148265 0.857291 0.0794521
78 2.325 1.40356 0.387057 2.16054 0.0815725 0.0526087 0.0563635 2.13404 0.0126982 2.88623 0.0331219 0.452535 0.000626982 0.0394609 0.0500649 0.314318 0.0675258 0.191826 0.015142 0 0.0794521
79 2.355 2.62378 0.802479 3.2518 0.138714 0.0512197 0.05645 2.78674 0.0188671 3.72571 0.0465984 0.951781 0.00141972 0.15393 0.0503247 0.305128 0.0680412 0.747024 0.0164038 0 0.0794521
80 2.385 4.02088 1.45541 4.37566 0.217577 0.0291259 0.0565004 3.2917 0.0263404 4.19797 0.0621721 1.49286 0.0026953 0.0374259 0.0503896 0.29748 0.0685567 0.364695 0.0170347 0 0.0794521
81 2.415 5.42217 2.35816 5.12489 0.31228 0.00405109 0.0565076 3.72738 0.0350173 4.39547 0.0788916 2.43578 0.00482848 0.0730075 0.0505195 0.290135 0.0690722 0.177798 0.0173502 0 0.0794521
82 2.445 6.11508 3.40172 5.5014 0.416482 0.01586 0.0565365 4.13498 0.0448833 4.26622 0.0955246 3.88475 0.00831652 0.0356116 0.0505844 0 0.0690722 0 0.0173502 0 0.0794521
83 2.475 5.91567 4.43616 5.10862 0.515631 0.0270443 0.0565869 4.19453 0.0551384 4.00108 0.111509 4.89558 0.0128207 0.0348451 0.0506494 0 0.0690722 0.33892 0.0179811 0 0.0794521
84 2.505 4.88333 5.31091 4.2479 0.600086 0.0188559 0.0566229 3.91911 0.0649539 3.432 0.125555 5.1542 0.017678 0 0.0506494 0 0.0690722 0.165708 0.0182965 0 0.0794521
85 2.535 3.56319 5.96456 3.24536 0.666165 0.0220955 0.0566662 3.31843 0.073465 2.73397 0.137014 5.12913 0.022629 0.0332152 0.0507143 0.263498 0.0695876 0.161361 0.018612 0 0.0794521
