# Time-averaged data for fix rdffinalout
# TimeStep Number-of-rows
# Row c_rdffinal[1] c_rdffinal[2] c_rdffinal[3] c_rdffinal[4] c_rdffinal[5] c_rdffinal[6] c_rdffinal[7] c_rdffinal[8] c_rdffinal[9] c_rdffinal[10] c_rdffinal[11] c_rdffinal[12] c_rdffinal[13] c_rdffinal[14] c_rdffinal[15] c_rdffinal[16] c_rdffinal[17] c_rdffinal[18] c_rdffinal[19] c_rdffinal[20] c_rdffinal[21]
760000 200
55 1.635 0 0.000144134 0.0376335 0.00325022 0.0186467 0.000374748 0.00711608 0.000461228 0.248124 0.00223407 0 0.00114586 0 0 16.0032 0.0690722 2.4493 0.040694 26.5828 0.591781
56 1.665 0 0.000144134 0.025058 0.00345921 0.0719344 0.000432401 0.0205756 0.000482848 0.239273 0.00264485 0.0182321 0.00115307 0.0810072 6.49351e-05 17.3653 0.0829897 1.9673 0.0422713 22.219 0.609589
57 1.695 0.000185067 0.000158547 0.0275137 0.00369703 0.199529 0.000598155 0.0264749 0.000511675 0.226805 0.00304843 0 0.00115307 0.312669 0.000324675 22.3386 0.101546 3.79759 0.0454259 23.0883 0.628767
58 1.725 0 0.000158547 0.0209316 0.0038844 0.335068 0.000886423 0.0191722 0.000533295 0.219007 0.003452 0 0.00115307 0.452885 0.000714286 25.7621 0.123711 2.93351 0.0479495 19.1055 0.645205
59 1.755 0 0.000158547 0.0248872 0.00411502 0.623105 0.00144134 0.0246942 0.000562122 0.177593 0.00379072 0 0.00115307 0.0729304 0.000779221 37.6226 0.157216 3.89677 0.0514196 15.3837 0.658904
60 1.785 0 0.000158547 0.0233058 0.00433843 1.3064 0.00264485 0.0417702 0.000612568 0.153399 0.0040934 0 0.00115307 0.352372 0.0011039 41.4068 0.195361 5.47921 0.0564669 19.3329 0.676712
61 1.815 0 0.000158547 0.0407197 0.004742 1.88405 0.00443932 0.0808113 0.000713462 0.123638 0.00434563 0 0.00115307 0.681742 0.00175325 41.1285 0.234536 6.29283 0.0624606 18.6989 0.694521
62 1.845 0.000156153 0.000172961 0.0520738 0.0052753 2.46761 0.00686797 0.0782142 0.000814356 0.146995 0.00465552 0 0.00115307 1.1216 0.00285714 39.2806 0.273196 6.73157 0.0690852 33.4032 0.727397
63 1.875 0 0.000172961 0.0872113 0.00619775 3.0132 0.00993082 0.129807 0.000987316 0.0959917 0.00486451 0 0.00115307 0.638885 0.00350649 42.0908 0.315979 3.72389 0.0728707 28.2986 0.756164
64 1.905 0.000293019 0.000201787 0.143241 0.0077616 3.72264 0.0138368 0.136238 0.00117469 0.0833596 0.00505189 0 0.00115307 0.185667 0.0037013 48.634 0.36701 5.11045 0.0782334 22.1945 0.779452
65 1.935 0.000142045 0.000216201 0.214323 0.0101758 4.16067 0.018341 0.106654 0.00132603 0.139868 0.00537619 0 0.00115307 0.239942 0.00396104 35.2355 0.405155 3.78742 0.0823344 34.1633 0.816438
66 1.965 0.00041314 0.000259441 0.293429 0.0135846 4.38958 0.0232416 0.118192 0.00149899 0.120558 0.00566446 0 0.00115307 0.407061 0.00441558 24.4723 0.432474 4.23837 0.0870662 26.9928 0.846575
67 1.995 0.00106881 0.000374748 0.35871 0.0178798 3.88911 0.0277169 0.0955452 0.00164312 0.108182 0.0059311 0 0.00115307 0.677137 0.00519481 19.709 0.455155 3.28953 0.0908517 27.3791 0.878082
68 2.025 0.00272303 0.000677429 0.468488 0.0236596 3.60457 0.0319905 0.227209 0.00199625 0.297977 0.00668781 0 0.00115307 0.328615 0.00558442 21.3044 0.480412 5.32176 0.0971609 18.4864 0.9
69 2.055 0.00541429 0.0012972 0.544546 0.030578 2.62649 0.0351975 0.216146 0.00234217 0.372012 0.00766071 0 0.00115307 0.478703 0.00616883 13.0871 0.496392 2.32528 0.1 13.4629 0.916438
70 2.085 0.0124761 0.00276737 0.700911 0.0397449 2.11574 0.0378567 0.306181 0.00284664 0.720085 0.00959931 0 0.00115307 0.310017 0.00655844 11.4825 0.510825 2.00782 0.102524 13.0781 0.932877
71 2.115 0.0192581 0.00510233 0.866446 0.0514053 1.69952 0.0400548 0.54837 0.0037763 0.967758 0.0122802 0.0225954 0.00116748 0.552331 0.00727273 9.56565 0.523196 1.95119 0.105047 11.6509 0.947945
72 2.145 0.0389479 0.00995964 1.04335 0.0658475 1.40845 0.0419285 0.872021 0.00529692 1.20645 0.0157178 0.0658876 0.00121072 0.292917 0.00766234 5.42423 0.530412 2.37145 0.108202 6.17774 0.956164
73 2.175 0.0811554 0.0203661 1.25782 0.0837489 1.05378 0.0433698 0.992833 0.00707697 1.37755 0.0197535 0.0320527 0.00123234 0.284835 0.00805195 2.63804 0.534021 0.922627 0.109464 2.00341 0.958904
74 2.205 0.159238 0.041352 1.4337 0.10472 0.891984 0.0446238 1.14982 0.00919573 1.48635 0.0242289 0.0207923 0.00124676 0.508065 0.00876623 0.366608 0.534536 1.34625 0.111356 5.84644 0.967123
75 2.235 0.316688 0.0842318 1.59208 0.128647 0.658663 0.0455751 1.32094 0.0116965 1.57715 0.0291078 0.0505746 0.00128279 0.359718 0.00928571 2.14147 0.537629 3.27591 0.116088 6.63961 0.976712
76 2.265 0.618478 0.170236 1.73603 0.155441 0.709358 0.0466273 1.33806 0.0142981 1.68087 0.034448 0.0886636 0.00134765 0.481535 0.01 1.04255 0.539175 1.48885 0.118297 6.46597 0.986301
77 2.295 1.05783 0.32126 1.86287 0.18496 0.4685 0.0473407 1.37547 0.0170438 1.81839 0.0403791 0.115142 0.00143413 0.298436 0.0104545 2.36954 0.542784 2.27871 0.121767 3.5976 0.991781
78 2.325 1.66508 0.565235 1.94582 0.216604 0.405779 0.0479749 1.56186 0.0202436 2.22165 0.0478164 0.130861 0.00153502 0.373962 0.011039 0.65961 0.543814 2.22041 0.125237 3.50641 0.99726
79 2.355 2.296 0.910392 1.96954 0.249467 0.364041 0.0485587 1.84806 0.024128 2.2032 0.0553834 0.218675 0.00170799 0.242941 0.0114286 0.964559 0.545361 2.75419 0.129653 2.56298 1.00137
80 2.385 2.9126 1.35947 2.04033 0.284383 0.315505 0.0490775 1.78181 0.0279692 2.13381 0.0629 0.293161 0.00194581 0.157933 0.0116883 2.19325 0.548969 3.06889 0.1347 8.32993 1.01507
81 2.415 3.36696 1.89174 1.90126 0.317743 0.320532 0.049618 1.90085 0.0321707 2.09907 0.0704814 0.467914 0.00233497 0.154039 0.0119481 3.0573 0.554124 4.86407 0.142902 10.5606 1.03288
82 2.445 3.70361 2.49187 1.8028 0.350166 0.27101 0.0500865 2.2902 0.0373595 2.0518 0.0780773 0.591715 0.00283943 0.187853 0.0122727 1.78922 0.557216 3.10271 0.148265 9.51046 1.04932
83 2.475 3.89458 3.13853 1.60566 0.379756 0.223793 0.0504828 2.52376 0.0432185 1.90357 0.0852984 0.684742 0.00343759 0.0366613 0.0123377 2.91013 0.562371 1.78088 0.15142 15.4688 1.07671
84 2.505 3.92686 3.80644 1.47696 0.407639 0.222456 0.0508864 2.33031 0.0487604 1.8712 0.0925699 0.756974 0.00411502 0.035769 0.0124026 1.13663 0.564433 1.91274 0.15489 7.55023 1.09041
85 2.535 3.85051 4.47715 1.42729 0.435233 0.190057 0.0512396 2.08314 0.053834 1.71672 0.0994018 0.770656 0.00482127 0.0349516 0.0124675 0.832439 0.565979 2.20709 0.158991 1.4745 1.09315
86 2.565 3.70285 5.1375 1.33695 0.461696 0.170481 0.0515639 2.00581 0.0588354 1.69627 0.106313 0.944746 0.0057077 0.0341337 0.0125325 0.271032 0.566495 1.49249 0.16183 2.87992 1.09863
87 2.595 3.44978 5.7672 1.27882 0.487604 0.151749 0.0518593 1.78744 0.0633972 1.53802 0.112727 0.750422 0.00642837 0.100073 0.0127273 0.529443 0.567526 3.24052 0.168139 4.22168 1.10685
88 2.625 3.2662 6.37724 1.20873 0.512662 0.213425 0.0522845 1.69164 0.0678149 1.52164 0.11922 0.792023 0.00720669 0.0326 0.0127922 0.258783 0.568041 1.90033 0.171924 6.87621 1.12055
89 2.655 3.06344 6.96257 1.09085 0.535796 0.240453 0.0527746 1.4486 0.0716849 1.52543 0.125879 0.939146 0.00815076 0.0318741 0.0128571 0.50568 0.569072 3.09545 0.178233 4.70445 1.13014
90 2.685 2.84371 7.51826 0.947646 0.556349 0.221276 0.0532358 1.19751 0.0749568 1.43182 0.132272 0.658915 0.00882819 0.0622928 0.012987 0.247317 0.569588 2.57303 0.183596 7.22987 1.14521
91 2.715 2.58918 8.03559 0.818599 0.574503 0.213043 0.0536898 1.0912 0.0780052 1.36244 0.138491 0.815838 0.00968579 0.0609181 0.0131169 1.45117 0.57268 2.6643 0.189274 3.21439 1.15205
92 2.745 2.35223 8.51601 0.693357 0.590221 0.267951 0.0542736 0.840341 0.080405 1.28495 0.144487 0.771243 0.0105146 0.119241 0.0133766 2.8392 0.578866 3.04061 0.195899 5.03026 1.16301
93 2.775 2.12778 8.96015 0.593219 0.603964 0.246 0.0548213 0.797574 0.0827328 1.2135 0.150274 0.899033 0.0115019 0.0583224 0.0135065 2.08361 0.583505 2.69187 0.201893 4.92231 1.17397
94 2.805 1.86124 9.35709 0.500829 0.615819 0.272441 0.055441 0.703297 0.0848299 1.11222 0.155693 0.725749 0.0123162 0.0285389 0.0135714 2.71917 0.589691 2.3576 0.207256 2.40852 1.17945
95 2.835 1.61914 9.70983 0.445279 0.626585 0.359752 0.056277 0.773659 0.0871865 0.958509 0.160464 0.804803 0.0132387 0.0558753 0.0137013 2.88381 0.596392 1.35746 0.21041 2.35742 1.18493
96 2.865 1.39982 10.0213 0.385514 0.636106 0.391738 0.0572067 0.706572 0.0893845 0.877575 0.164925 0.794197 0.0141683 0.136807 0.014026 3.69229 0.605155 1.32924 0.213565 1.73156 1.18904
97 2.895 1.19514 10.2928 0.333836 0.644523 0.425292 0.0582372 0.630739 0.091388 0.787296 0.169011 0.70543 0.0150115 0.160766 0.0144156 3.61618 0.613918 1.9528 0.218297 2.82712 1.19589
98 2.925 1.01929 10.5292 0.304344 0.652357 0.451559 0.0593543 0.568991 0.0932329 0.756262 0.173018 0.679244 0.0158403 0.288796 0.0151299 2.70888 0.620619 2.42285 0.22429 2.21485 1.20137
99 2.955 0.879709 10.7374 0.261435 0.659225 0.439597 0.0604641 0.481265 0.0948256 0.665019 0.176614 0.78709 0.0168204 0.205727 0.0156494 3.26663 0.628866 1.24953 0.227445 3.25561 1.20959
100 2.985 0.747234 10.9178 0.243306 0.665747 0.503521 0.0617613 0.467361 0.0964039 0.617764 0.180023 0.65789 0.0176564 0.277285 0.0163636 2.40109 0.635052 2.20442 0.233123 1.59556 1.2137
101 3.015 0.647325 11.0773 0.215819 0.671649 0.499058 0.0630729 0.483216 0.0980686 0.615776 0.183489 0.69491 0.0185572 0.123566 0.0166883 2.94202 0.642784 1.44031 0.236909 0 1.2137
102 3.045 0.5622 11.2186 0.212885 0.677587 0.556452 0.0645647 0.578352 0.100101 0.556009 0.186682 0.62131 0.0193788 0.290674 0.0174675 2.49994 0.649485 2.23576 0.242902 0.510956 1.21507
103 3.075 0.488522 11.3438 0.204694 0.68341 0.60102 0.0662078 0.569122 0.10214 0.53904 0.189839 0.534419 0.0200995 0.356283 0.0184416 3.77083 0.659794 1.84615 0.24795 0.50117 1.21644
104 3.105 0.420389 11.4537 0.1943 0.689046 0.690293 0.068132 0.562116 0.104194 0.522655 0.192959 0.503203 0.0207913 0.419321 0.0196104 1.6646 0.664433 1.47111 0.25205 0.491258 1.21781
105 3.135 0.367204 11.5515 0.180364 0.694379 0.70505 0.0701355 0.578498 0.106349 0.555333 0.196339 0.606719 0.0216417 0.15995 0.0200649 3.44661 0.674227 1.77613 0.257098 0.482249 1.21918
106 3.165 0.331504 11.6415 0.19322 0.700202 0.773849 0.0723768 0.535326 0.108381 0.49373 0.199402 0.494368 0.0223479 0.336284 0.021039 4.09334 0.686082 4.03019 0.26877 0.946056 1.22192
107 3.195 0.298378 11.7241 0.203923 0.706464 0.849754 0.0748847 0.475005 0.110219 0.524396 0.202717 0.391107 0.0229173 0.286003 0.0218831 4.19106 0.698454 3.20649 0.278233 0 1.22192
108 3.225 0.257369 11.7967 0.194159 0.71254 0.898726 0.0775872 0.458895 0.112028 0.520275 0.206068 0.349821 0.0234361 0.302309 0.0227922 2.2282 0.705155 3.25178 0.288013 0.911251 1.22466
